,embedding,name
68,"[2.9678678e-05 1.1977331e-05 7.9004093e-07 ... 3.6828460e-08 1.9195163e-08
 7.4366047e-09]",embedding_stl10_subset61
69,"[2.1945800e-06 1.7380547e-07 1.7634038e-07 ... 9.8289936e-09 8.3202947e-09
 3.0889213e-09]",embedding_kimia_subset91
70,"[4.2874727e-04 5.9282585e-05 2.5960655e-06 ... 7.2839221e-08 1.3598071e-07
 1.4154210e-07]",embedding_isic_subset41
71,"[2.1033018e-06 2.9915420e-06 6.5072987e-07 ... 6.3114158e-09 4.3500807e-09
 4.6033493e-09]",embedding_textures_subset3
72,"[7.6551927e-04 2.9033545e-04 2.5546857e-05 ... 1.0557882e-06 3.8302983e-06
 1.5549465e-06]",embedding_isic_subset3
73,"[6.0926304e-06 5.5526411e-06 1.0582444e-06 ... 1.0734339e-08 1.5264925e-08
 4.6233501e-09]",embedding_textures_subset89
74,"[3.2029685e-04 3.1844361e-04 2.0573517e-04 ... 6.5289169e-07 2.3494067e-07
 1.6379289e-06]",embedding_pcam-middle_subset42
75,"[1.8166936e-03 2.0620532e-03 1.6434040e-04 ... 8.6514643e-07 1.0101185e-08
 1.4813631e-07]",embedding_chest_subset93
76,"[6.4807223e-06 3.9338370e-06 3.9037792e-07 ... 1.9278539e-09 3.4116185e-09
 1.9864477e-09]",embedding_stl10_subset25
77,"[1.4515822e-04 2.0314431e-04 1.0332653e-04 ... 2.5832554e-07 1.0572305e-06
 3.7694505e-09]",embedding_pcam-small_subset54
78,"[2.7870116e-04 3.8278467e-04 1.7698940e-04 ... 2.0341704e-06 3.9941159e-07
 2.4045960e-07]",embedding_pcam-middle_subset29
79,"[1.4964115e-05 1.1206663e-05 7.4640093e-07 ... 1.3942296e-08 3.9658794e-08
 5.6447639e-08]",embedding_sti10_subset74
80,"[1.1048618e-05 9.6850717e-06 1.2650545e-06 ... 3.3496214e-08 7.7588332e-08
 1.6621733e-08]",embedding_kimia_subset32
81,"[3.5712478e-04 5.2686071e-05 2.5643710e-06 ... 1.5489345e-08 1.9678605e-07
 5.3449514e-07]",embedding_isic_subset89
82,"[4.5011911e-05 2.1575070e-05 2.4309547e-06 ... 1.8641268e-07 6.2983794e-08
 6.9010333e-08]",embedding_sti10_subset93
83,"[2.5416562e-06 1.9812940e-07 1.2279204e-06 ... 5.7454481e-09 4.2139154e-09
 1.1018706e-08]",embedding_kimia_subset59
84,"[1.3300773e-03 1.2578265e-03 6.0451792e-05 ... 2.2241486e-06 1.4275593e-06
 9.5804842e-07]",embedding_chest_subset74
85,"[2.5962226e-04 3.3391840e-04 1.5337426e-04 ... 2.3895672e-07 3.9015251e-08
 2.9186015e-07]",embedding_pcam-middle_subset23
86,"[5.4236210e-04 2.3321326e-04 1.2646339e-05 ... 3.4402487e-07 1.1765388e-07
 1.5499643e-07]",embedding_isic_subset64
87,"[1.5885300e-04 1.2561426e-04 7.6151890e-05 ... 5.5294514e-08 1.3988655e-06
 3.0562350e-07]",embedding_pcam-small_subset35
88,"[2.0251942e-03 1.6837897e-03 1.1084192e-04 ... 8.4234898e-07 1.1131509e-06
 7.5358020e-07]",embedding_chest_subset99
89,"[5.2816566e-05 1.1952066e-05 1.4289566e-06 ... 5.4475173e-08 7.8728455e-08
 4.7026354e-08]",embedding_stl10_subset44
90,"[2.8932077e-04 4.1416366e-04 2.1026201e-04 ... 6.3378275e-07 1.5392123e-07
 7.1056243e-06]",embedding_pcam-middle_subset48
91,"[2.8090086e-05 2.0536145e-05 2.0973062e-06 ... 1.9952321e-08 1.6411644e-08
 1.5111097e-07]",embedding_sti10_subset15
92,"[2.5780680e-06 7.4192230e-06 2.1254264e-06 ... 6.1640102e-09 1.9590411e-08
 2.2602521e-08]",embedding_textures_subset83
93,"[1.7549075e-06 8.7038262e-07 7.5782714e-07 ... 2.1305033e-09 2.4834439e-09
 2.5111293e-08]",embedding_kimia_subset53
94,"[2.2507584e-06 8.8380830e-06 1.3560850e-06 ... 6.7093104e-08 1.3841450e-08
 1.8066070e-08]",embedding_textures_subset64
95,"[1.8794099e-05 1.7434184e-05 1.5684901e-06 ... 5.0855387e-08 1.9599012e-08
 4.3508670e-08]",embedding_sti10_subset99
96,"[5.8694993e-04 1.6351871e-04 7.5749472e-06 ... 1.0479844e-07 4.0755936e-07
 9.1390866e-08]",embedding_isic_subset83
97,"[2.1257664e-03 1.4314906e-03 1.7512486e-04 ... 1.0557336e-06 1.6526219e-06
 2.5306923e-07]",embedding_chest_subset15
98,"[9.6463930e-07 2.6115927e-07 3.2604603e-07 ... 4.8089683e-09 4.6460191e-09
 4.8370854e-09]",embedding_kimia_subset38
99,"[7.9703523e-04 1.1075101e-03 4.0999828e-05 ... 4.5500048e-08 6.0669798e-08
 5.1056595e-08]",embedding_chest_subset41
100,"[3.3284156e-04 4.0149069e-04 1.7793279e-04 ... 1.8249136e-08 2.1336474e-08
 8.5675921e-08]",embedding_pcam-middle_subset90
101,"[3.3908466e-06 5.2585551e-06 6.0588246e-07 ... 4.4912265e-09 6.4564798e-09
 1.5753901e-08]",embedding_textures_subset30
102,"[1.6383974e-04 1.8292649e-04 1.0119509e-04 ... 4.5692414e-09 9.5655031e-09
 7.3502315e-07]",embedding_pcam-small_subset86
103,"[2.3309845e-05 1.3657694e-05 1.4117503e-06 ... 4.0962387e-08 4.7002651e-08
 2.2212026e-08]",embedding_sti10_subset41
104,"[1.7023303e-05 7.3635588e-06 7.8059065e-07 ... 1.2076598e-08 7.3158581e-09
 1.0178979e-08]",embedding_stl10_subset10
105,"[1.1519459e-04 1.7630613e-04 8.3124352e-05 ... 7.5764513e-07 2.4410729e-08
 3.8112498e-07]",embedding_pcam-small_subset61
106,"[1.0179073e-03 2.0244674e-04 1.8926983e-05 ... 1.4806322e-06 1.4762134e-06
 1.5606147e-06]",embedding_isic_subset30
107,"[2.8334514e-04 3.4724479e-04 2.0394064e-04 ... 1.0127892e-06 4.8519810e-09
 2.8439057e-08]",embedding_pcam-middle_subset77
108,"[5.5853109e-04 1.5058478e-03 5.7593665e-05 ... 6.6092767e-08 6.6379801e-07
 4.6147375e-07]",embedding_chest_subset20
109,"[3.8343304e-04 4.7363929e-04 2.3267743e-04 ... 3.4898964e-08 1.0166243e-06
 1.7443238e-08]",embedding_pcam-middle_subset1
110,"[1.7026008e-05 4.8507309e-06 8.0745252e-07 ... 7.1074249e-09 9.7427328e-09
 2.9289589e-08]",embedding_stl10_subset7
111,"[2.8999600e-06 1.0903063e-05 2.5773102e-06 ... 1.5559104e-08 3.1185738e-08
 9.2653583e-09]",embedding_textures_subset51
112,"[1.4573466e-06 2.6409836e-07 6.0963356e-07 ... 2.6791092e-09 6.7545383e-09
 3.2472087e-09]",embedding_kimia_subset66
113,"[1.29520595e-05 5.96951986e-06 7.61496892e-07 ... 1.56642219e-08
 1.94033642e-08 4.28563629e-09]",embedding_stl10_subset96
114,"[4.5573965e-05 2.5765004e-05 2.7922590e-06 ... 4.2611060e-08 2.9464276e-08
 7.2655361e-08]",embedding_sti10_subset20
115,"[4.6682590e-06 8.6450075e-07 7.9357039e-07 ... 8.0179214e-09 7.4177544e-09
 4.9516742e-09]",embedding_kimia_subset81
116,"[1.3612074e-05 6.3420985e-06 4.9848728e-07 ... 8.8430355e-08 1.8461897e-08
 4.0601318e-08]",embedding_stl10_subset71
117,"[7.9009304e-04 1.0976660e-04 2.3215180e-05 ... 1.9524796e-06 4.1780802e-07
 4.6002955e-07]",embedding_isic_subset51
118,"[2.5625189e-04 3.3949991e-04 1.8197900e-04 ... 1.2816120e-07 1.2714162e-07
 7.9449734e-07]",embedding_pcam-middle_subset16
119,"[3.7457751e-06 6.9168882e-06 7.1678369e-07 ... 4.9439071e-09 2.2187557e-08
 4.9679585e-08]",embedding_textures_subset99
120,"[3.0826961e-04 4.3323156e-04 2.2476850e-04 ... 1.4715031e-06 1.1918102e-06
 6.0215143e-07]",embedding_pcam-middle_subset52
121,"[5.8381591e-04 1.3344834e-03 7.8543235e-05 ... 1.4606541e-06 3.2025420e-07
 9.4551751e-07]",embedding_chest_subset83
122,"[2.4546968e-04 7.0440525e-05 4.1361368e-06 ... 1.3436110e-07 5.6049164e-08
 1.0263413e-07]",embedding_isic_subset15
123,"[6.9792522e-06 2.4984683e-06 4.3315092e-07 ... 4.4962127e-09 8.8107752e-09
 9.9969375e-09]",embedding_stl10_subset35
124,"[1.4910410e-06 5.1525944e-07 1.5023845e-06 ... 8.1423552e-09 1.1014514e-08
 3.6639960e-09]",embedding_kimia_subset8
125,"[1.0663243e-04 1.3146632e-04 1.0095505e-04 ... 4.9429481e-08 1.3342986e-07
 2.2550084e-08]",embedding_pcam-small_subset44
126,"[8.6061982e-06 1.8723746e-05 9.0032341e-07 ... 7.8624343e-09 7.2966713e-09
 1.4003451e-08]",embedding_sti10_subset64
